Date,Gasto_Publicidad,Ventas,Ordenes,Google_Trends_Opry,Google_Trend_Nashville,Flights_to_Nashville,Organic,Email,Retail_sales__total,GAFO_1_,unemployment,cpi,fed_rate,mei,sp,black_friday,christmas,columbus_day,cyber_monday,easter_sunday,fathers_day,fathers_day_1wf_before,good_friday,halloween,hanukkah_start,independence_day,juneteenth,labor_day,memorial_day,mothers_day,presidents_day,prime_day,small_business_saturday,thanksgiving,two_weeks_before_christmas,valentine_day,veterans_day,week_before_christmas
2023-03-25,101030.34,1393576,17489,10,100,2553500,404044,85459,147390,30610.25,0.875,75.459,1.1625,-0.2,992.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,39261.42,1020225.2,14953,6,25,2068200,343930,42426,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,38278.84,1133247.2,17228,5,21,2068200,311448,44304,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,54829.83,1592108.8,22265,6,21,2068200,344501,124947,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,59622.22,1520991.2,20829,11,20,2068200,339243,44133,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-29,59206.98,980815.2,13957,8,21,2068200,323449,124423,114866.2,24471.4,0.68,60.6726,0.966,-0.08,824.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-06,75817.11,988450,15198,6,22,2614750,308338,41279,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-13,78554.19,1686537.2,21099,9,19,2614750,184907,13698,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023-05-20,78221.9,1369842.2,19278,9,19,2614750,310347,80534,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-27,78538.59,803375.2,10846,8,19,2614750,309816,131524,153984.75,32166.75,0.9,76.03175,1.265,-0.025,1036.5425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023-06-03,77407.26,1420565.8,20123,6,19,2641250,327742,123949,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-10,88603.78,1903056.6,23275,6,20,2641250,384635,88133,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-17,84633.45,1271570,18055,11,22,2641250,370699,71808,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-06-24,81519.64,1414978.2,20394,8,24,2641250,429265,139292,149369,31466.5,0.9,76.27725,1.27,0.1,1086.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,71459.69,1563282.8,21631,9,20,2133400,480042,147368,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-08,70189.12,1248054.2,18314,10,20,2133400,412722,134522,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-07-15,72761.44,1298845.2,18416,10,21,2133400,412797,183881,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-22,72057.61,1476628.6,20409,14,22,2133400,442485,124460,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-29,69988.04,1742308.8,23542,9,19,2133400,482330,167985,118230,25267.4,0.7,61.1382,1.024,0.1,901.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-05,67712.4,1303948,18086,10,21,2684250,494227,195052,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-12,68675.38,990365.2,15025,10,22,2684250,483229,343710,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-19,69906.02,1851634.8,19778,9,22,2684250,478845,132457,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-26,68763.69,1020842.28,14657,11,19,2684250,435067,150560,153377.75,32927.75,0.925,76.7565,1.3325,0.125,1106.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-02,66345.76,1044912,14753,12,17,2156800,442497,160094,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023-09-09,71694.46,1358801.2,17601,12,18,2156800,473227,162530,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-16,72492.59,1556777.6,20401,11,18,2156800,443798,190180,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-23,71714.86,1511151.2,19704,11,17,2156800,451237,219614,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-30,69765.49,659043.4,8974,16,18,2156800,498787,79692,115861.2,24433.8,0.76,61.5578,1.066,0.14,881.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-07,70679.94,1681313.6,21659,10,17,2716000,501302,158425,148566.5,31336,0.975,76.91775,1.3325,0.125,1064.745,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-14,70550.54,1130322.8,16941,13,18,2716000,467456,86428,148566.5,31336,0.975,76.91775,1.3325,0.125,1064.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-21,69605.21,1796350.2,24757,15,18,2716000,487977,268165,148566.5,31336,0.975,76.91775,1.3325,0.125,1064.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-28,70687.53,2042528.48,25342,15,17,2716000,450392,141121,148566.5,31336,0.975,76.91775,1.3325,0.125,1064.745,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-04,55657.09,1163231.4,15354,13,19,2732250,415129,70188,152106.5,34155.25,0.925,76.76275,1.3325,0.225,1115.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-11,53886.98,1089244.2,14513,17,17,2732250,453800,98247,152106.5,34155.25,0.925,76.76275,1.3325,0.225,1115.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-11-18,53912.26,1051780,12610,13,16,2732250,433798,251631,152106.5,34155.25,0.925,76.76275,1.3325,0.225,1115.015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-11-25,53714.02,936150.6,12751,16,15,2732250,376797,74564,152106.5,34155.25,0.925,76.76275,1.3325,0.225,1115.015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-12-02,39002.86,1493545,18850,46,17,2209200,424881,181037,131448.6,33407.2,0.76,61.3492,1.066,0.22,937.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-09,38950.57,999131,13372,22,19,2209200,570753,66681,131448.6,33407.2,0.76,61.3492,1.066,0.22,937.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-12-16,38781.5,1280347.4,16578,21,16,2209200,399960,53087,131448.6,33407.2,0.76,61.3492,1.066,0.22,937.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-12-23,38993.91,545184.4,7538,9,18,2209200,412438,53803,131448.6,33407.2,0.76,61.3492,1.066,0.22,937.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-30,38312.68,850042.6,12482,9,23,2209200,389736,52210,131448.6,33407.2,0.76,61.3492,1.066,0.22,937.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-06,32292,403779.4,6241,5,17,2761750,394941,48817,134958.5,27520.75,0.925,77.10425,1.3325,0.175,1201.1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-13,33749.39,635857.3,7007,7,19,2761750,348715,54267,134958.5,27520.75,0.925,77.10425,1.3325,0.175,1201.1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
